Company Name,Company url,ROP,Title,TN,Meta,MN,LVTN,LVDN,Links,Word,DCNAIH,RatioWL,External,Internal,We,Et,RV
bb&t,https://hi-in.facebook.com,2,1,1,0,0,30,25,34,6,1,0.1764705882,17,29,0.3529411765,0.5,0
bbc,https://www.bbc.co.uk,2,1,1,2,2,10,18,90,934,1,10.37777778,15,82,62.26666667,0.1666666667,1
bbva,https://www.bbva.es,2,1,1,3,3,35,15,84,1539,1,18.32142857,12,74,128.25,0.1428571429,1
bd,https://www.bd.com,2,1,1,2,2,16,16,142,2829,1,19.92253521,0,0,0,0,1
bechtel corporation,https://en.wikipedia.org,2,0,0,1,1,12,21,269,1377,1,5.118959108,91,188,15.13186813,0.3382899628,0
bell,https://www.bellhelmets.com,2,1,0.5,1,1,54,23,71,377,1,5.309859155,0,0,0,0,0
best buy,https://en.wikipedia.org,2,1,0.5,1,0.5,14,23,269,1377,1,5.118959108,91,188,15.13186813,0.3382899628,0
bhp billiton,https://www.bhp.com,2,0,0,0,0,12,17,90,769,0,8.544444444,0,0,0,0,1
"biocolloids fate and transport in environmental systems, network biomet",https://rocketreach.com,2,1,1,1,1,62,61,0,0,1,0,0,0,0,0,0
blackrock,https://www.blackrock.com,2,1,1,3,3,12,16,121,2327,1,19.23140496,0,0,0,0,1
"""cecaci"" centro de capacitacion comercial e industrial",https://www.ampliz.com,3,0,0,0,0,46,48,48,898,0,18.70833333,0,0,0,0,0
3m health care,https://www.3mindia.in,3,1,0.33,2,0.66,44,21,85,20,1,0.2352941176,0,0,0,0,1
abb,https://new.abb.com,3,1,1,1,1,54,16,203,1650,1,8.128078818,11,210,150,0.05418719212,1
abbott,https://www.abbott.in,3,1,1,1,1,13,15,59,809,1,13.71186441,13,47,62.23076923,0.2203389831,1
abbvie,https://en.wikipedia.org,3,1,1,1,1,14,22,272,1377,1,5.0625,91,188,15.13186813,0.3345588235,0
abn amro bank n.v.,https://hi.wikipedia.org,3,0,0,0,0,21,22,747,837,0,1.120481928,432,308,1.9375,0.578313253,0
absa,https://www.absa.africa,3,1,1,1,1,38,19,69,739,1,10.71014493,16,58,46.1875,0.231884058,1
accenture,https://en.wikipedia.org,3,1,1,1,1,13,21,272,1377,1,5.0625,91,188,15.13186813,0.3345588235,0
accenture in india,https://www.accenture.com,3,0,0,0,0,37,21,117,4,0,0.03418803419,11,111,0.3636363636,0.09401709402,1
accorhotels,https://en.wikipedia.org,3,1,1,1,1,12,23,272,1377,1,5.0625,91,188,15.13186813,0.3345588235,0
adecco,https://www.adeccogroup.com,3,1,1,1,1,17,21,35,435,1,12.42857143,8,28,54.375,0.2285714286,1
adecco group,https://www.adecco.co.in,3,0,0,1,0.5,6,18,36,651,1,18.08333333,9,19,72.33333333,0.25,1
adidas,https://www.adidas.com,3,1,1,1,1,35,16,4,194,1,48.5,0,0,0,0,1
adobe,https://en.wikipedia.org,3,1,1,4,4,18,22,272,1377,1,5.0625,91,188,15.13186813,0.3345588235,0
adp,https://en.wikipedia.org,3,1,1,1,1,23,23,272,1377,1,5.0625,91,188,15.13186813,0.3345588235,0
advocare,https://www.facebook.com,3,1,1,2,2,20,22,0,48,1,0,17,29,2.823529412,0,0
aecom,https://aecom.jobs,3,1,1,1,1,9,13,222,1120,1,5.045045045,36,184,31.11111111,0.1621621622,1
aerotek,https://www.linkedin.com,3,1,1,1,1,12,23,108,506,1,4.685185185,11,97,46,0.1018518519,0
aetna,https://en.wikipedia.org,3,1,1,1,1,13,21,272,1377,1,5.0625,91,188,15.13186813,0.3345588235,0
aflac,https://www.linkedin.com,3,1,1,2,2,12,22,108,506,1,4.685185185,11,97,46,0.1018518519,0
agilent technologies,https://www.agilent.com,3,0,0,2,1,18,22,26,370,1,14.23076923,39,123,9.487179487,1.5,1
aig,https://en.wikipedia.org,3,0,0,2,2,38,22,272,1377,1,5.0625,91,188,15.13186813,0.3345588235,0
aim,https://www.collinsdictionary.com,3,1,1,0,0,28,31,101,1142,1,11.30693069,1,0,1142,0.009900990099,0
air france,https://wwws.airfrance.in,3,1,1,0,0,58,17,47,21,1,0.4468085106,0,0,0,0,1
air liquide,https://www.airliquide.com,3,1,0.5,1,0.5,11,17,264,2496,1,9.454545455,33,225,75.63636364,0.125,1
airbus,https://www.airbus.com,3,1,1,1,1,22,16,421,1636,1,3.885985748,20,401,81.8,0.04750593824,1
airtel,https://www.airtel.com,3,1,1,1,1,16,16,9,81,1,9,6,3,13.5,0.6666666667,1
aker solutions,https://en.wikipedia.org,3,1,0.5,1,1,14,21,272,1377,1,5.0625,91,188,15.13186813,0.3345588235,0
akzonobel,https://akzonobel.co.in,3,1,1,1,1,8,14,57,627,1,11,14,30,44.78571429,0.2456140351,1
alberta health services,https://myhealth.alberta.ca,3,0,0,0,0,30,19,0,336,0,0,0,0,0,0,0
"alcon, a novartis company",https://www.fiercepharma.com,3,1,1,1,1,49,26,26,133,1,5.115384615,10,17,13.3,0.3846153846,0
allergan,https://ie.linkedin.com,3,1,1,1,1,12,21,108,506,1,4.685185185,32,76,15.8125,0.2962962963,0
allianz,https://en.wikipedia.org,3,1,1,1,1,13,22,272,1377,1,5.0625,91,188,15.13186813,0.3345588235,0
allstate,https://www.allstatenewsroom.com,3,2,2,1,1,48,24,58,666,1,11.48275862,0,0,0,0,1
alstom,https://www.linkedin.com,3,1,1,2,2,12,21,108,506,1,4.685185185,11,97,46,0.1018518519,0
altran,https://en.wikipedia.org,3,0,0,0,0,30,22,272,1377,0,5.0625,91,188,15.13186813,0.3345588235,0
amazon,https://www.primevideo.com,3,0,0,1,1,20,24,11,70,1,6.363636364,0,10,0,0,1
amazon web services,https://www.linkedin.com,3,1,0.33,3,1,20,21,108,506,1,4.685185185,11,97,46,0.1018518519,0
amdocs,https://en.wikipedia.org,3,1,1,1,1,13,22,272,1377,1,5.0625,91,188,15.13186813,0.3345588235,0
american airlines,https://en.wikipedia.org,3,1,0.5,3,1.5,14,21,272,1377,1,5.0625,91,188,15.13186813,0.3345588235,0
american center of krasnodar,https://krasnodarexpats.tripod.com,3,1,0.25,2,0.6666666667,41,30,44,626,1,14.22727273,9,35,69.55555556,0.2045454545,1
american express,https://en.wikipedia.org,3,1,1,1,1,14,22,272,1377,1,5.0625,91,188,15.13186813,0.3345588235,0
american family insurance,https://www.facebook.com,3,1,0.33,2,0.66,28,25,0,48,1,0,17,29,2.823529412,0,0
