Company Name,Company url,Rank of page,Appeared in Title,Ttile and normalized(3),Number of words in company name appering in meta tag(4),"Number of words in company name appering in meta tag,normalized(5)",Levenshtein title and name(6),Levenshtein distance(Domain-Name)7,no. of links(8),Word Count(9),Does Company name apperars in html(10),Ratio of words in the site content to all links on the page(11),Response Variable
"""cecaci"" centro de capacitacion comercial e industrial",linkedin.com,1,0,0,2,0.16,45,46,0,0,0,0,0
3m health care,3m.com,1,1,1/3,1,0.333,21,11,0,0,1,0,1
abb,global.abb,1,2,2,1,1,62,8,460,1640,1,3.565217391,1
abbott,abbott.com,1,1,1,2,2,12,4,120,735,1,6.125,1
abbvie,abbvie.com,1,1,1,1,0,41,4,203,1687,1,8.310344828,1
abn amro bank n.v.,abnamro.com,1,0,0,0,0,18,11,0,0,0,0,1
absa,absa.co.za,1,1,1,1,1,50,6,110,597,1,5.427272727,1
accenture in india,accenture.com,1,1,1/3,3,1,20,10,181,0,1,0,1
accorhotels,all.accor.com,1,1,1,2,2,19,11,162,853,1,5.265432099,1
adecco,adecco.com,1,1,1,0,0,9,4,71,122,1,1.718309859,1
adidas,shop.adidas.co.in,1,1,1,5,5,22,11,0,852,1,0,1
adobe,adobe.com,1,1,1,1,1,55,4,89,2,1,0.02247191011,1
adp,adp.com,1,1,1,1,1,45,4,262,2181,1,8.324427481,1
advocare,advocare.com,1,1,1,1,1,11,4,0,0,1,0,1
aecom,aecom.com,1,1,1,1,1,8,4,178,956,1,5.370786517,1
aerotek,aerotek.com,1,2,2,3,3,38,5,96,349,1,3.635416667,1
